"Statistic Label","Census Year","Ireland and Northern Ireland","Age Group","Religion","UNIT","VALUE"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","10 - 14 years","Protestant  and Other Christian religion, n.e.s.","%","7.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","10 - 14 years","No religion","%","4.696277058"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","10 - 14 years","Not stated","%","6.917440703"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","10 - 14 years","Islam","%","10.07567436"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","10 - 14 years","Other stated religions (1)","%","4.9"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","10 - 14 years","Hindu","%","5.335471961"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","15 - 19 years","Roman Catholic","%","6.623413155"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","15 - 19 years","Protestant  and Other Christian religion, n.e.s.","%","6.9"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","15 - 19 years","No religion","%","5.94730235"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","15 - 19 years","Not stated","%","6.516924744"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","15 - 19 years","Islam","%","8.393750763"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","15 - 19 years","Other stated religions (1)","%","5"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","15 - 19 years","Hindu","%","3.102018582"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","20 - 24 years","Roman Catholic","%","5.178987451"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","20 - 24 years","Protestant  and Other Christian religion, n.e.s.","%","5.7"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","20 - 24 years","No religion","%","8.566645001"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","20 - 24 years","Not stated","%","6.888874491"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","20 - 24 years","Islam","%","7.388014158"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","20 - 24 years","Other stated religions (1)","%","6.5"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","20 - 24 years","Hindu","%","6.055745544"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","25 - 29 years","Roman Catholic","%","4.40899114"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","25 - 29 years","Protestant  and Other Christian religion, n.e.s.","%","6.2"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","25 - 29 years","No religion","%","10.14981764"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","25 - 29 years","Not stated","%","6.667707223"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","25 - 29 years","Islam","%","8.049554498"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","25 - 29 years","Other stated religions (1)","%","8.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","25 - 29 years","Hindu","%","19.91949883"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","30 - 34 years","Roman Catholic","%","5.018969749"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","30 - 34 years","Protestant  and Other Christian religion, n.e.s.","%","7.8"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","30 - 34 years","No religion","%","10.55601575"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","30 - 34 years","Not stated","%","8.303638216"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","30 - 34 years","Islam","%","9.582570487"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","30 - 34 years","Other stated religions (1)","%","9.9"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","30 - 34 years","Hindu","%","18.61211149"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","35 - 39 years","Roman Catholic","%","6.428069824"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","35 - 39 years","Protestant  and Other Christian religion, n.e.s.","%","8.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","35 - 39 years","No religion","%","10.210896"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","35 - 39 years","Not stated","%","9.138242795"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","35 - 39 years","Islam","%","10.07201269"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","35 - 39 years","Other stated religions (1)","%","11.2"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","35 - 39 years","Hindu","%","14.05138759"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","40 - 44 years","Roman Catholic","%","7.471825536"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","40 - 44 years","Protestant  and Other Christian religion, n.e.s.","%","8.7"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","40 - 44 years","No religion","%","9.506467955"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","40 - 44 years","Not stated","%","9.150022676"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","40 - 44 years","Islam","%","8.662272672"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","40 - 44 years","Other stated religions (1)","%","10.8"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","40 - 44 years","Hindu","%","9.157764126"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","45 - 49 years","Roman Catholic","%","7.204920786"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","45 - 49 years","Protestant  and Other Christian religion, n.e.s.","%","8"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","45 - 49 years","No religion","%","7.437235907"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","45 - 49 years","Not stated","%","7.180426549"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","45 - 49 years","Islam","%","6.495789088"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","45 - 49 years","Other stated religions (1)","%","9.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","45 - 49 years","Hindu","%","4.82099083"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","50 - 54 years","Roman Catholic","%","6.871460504"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","50 - 54 years","Protestant  and Other Christian religion, n.e.s.","%","6.7"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","50 - 54 years","No religion","%","6.048108665"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","50 - 54 years","Not stated","%","5.917034297"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","50 - 54 years","Islam","%","4.674722324"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","50 - 54 years","Other stated religions (1)","%","7.8"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","50 - 54 years","Hindu","%","2.188057985"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","55 - 59 years","Roman Catholic","%","6.495592403"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","55 - 59 years","Protestant  and Other Christian religion, n.e.s.","%","5.3"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","55 - 59 years","No religion","%","4.940995875"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","55 - 59 years","Not stated","%","4.70959648"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","55 - 59 years","Islam","%","2.669351886"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","55 - 59 years","Other stated religions (1)","%","5.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","55 - 59 years","Hindu","%","1.019883183"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","60 - 64 years","Roman Catholic","%","5.938004944"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","60 - 64 years","Protestant  and Other Christian religion, n.e.s.","%","4.3"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","60 - 64 years","No religion","%","3.902258413"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","60 - 64 years","Not stated","%","4.0337258"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","60 - 64 years","Islam","%","1.536677652"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","60 - 64 years","Other stated religions (1)","%","4.3"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","60 - 64 years","Hindu","%","0.623430076"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","65 - 69 years","Roman Catholic","%","5.325466507"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","65 - 69 years","Protestant  and Other Christian religion, n.e.s.","%","3.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","65 - 69 years","No religion","%","3.00932526"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","65 - 69 years","Not stated","%","3.318392517"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","65 - 69 years","Islam","%","0.847064567"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","65 - 69 years","Other stated religions (1)","%","3.2"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","65 - 69 years","Hindu","%","0.37224223"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","70 - 74 years","Roman Catholic","%","4.684286438"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","70 - 74 years","Protestant  and Other Christian religion, n.e.s.","%","3"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","70 - 74 years","No religion","%","2.057881203"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","70 - 74 years","Not stated","%","2.739116862"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","70 - 74 years","Islam","%","0.458928353"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","70 - 74 years","Other stated religions (1)","%","2.2"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","70 - 74 years","Hindu","%","0.202766093"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","75 - 79 years","Roman Catholic","%","3.677022499"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","75 - 79 years","Protestant  and Other Christian religion, n.e.s.","%","2.3"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","75 - 79 years","No religion","%","1.136570937"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","75 - 79 years","Not stated","%","1.945741867"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","75 - 79 years","Islam","%","0.242890272"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","75 - 79 years","Other stated religions (1)","%","1.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","75 - 79 years","Hindu","%","0.139212541"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","80 - 84 years","Roman Catholic","%","2.366134497"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","80 - 84 years","Protestant  and Other Christian religion, n.e.s.","%","1.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","80 - 84 years","No religion","%","0.477411142"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","80 - 84 years","Not stated","%","1.177988114"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","80 - 84 years","Islam","%","0.111070426"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","80 - 84 years","Other stated religions (1)","%","0.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","80 - 84 years","Hindu","%","0.105922586"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","85 years and over","Roman Catholic","%","2.082164227"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","85 years and over","Protestant  and Other Christian religion, n.e.s.","%","1.2"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","85 years and over","No religion","%","0.244313429"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","85 years and over","Not stated","%","1.330537575"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","85 years and over","Islam","%","0.075674356"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","85 years and over","Other stated religions (1)","%","0.5"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","85 years and over","Hindu","%","0.036316315"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","All ages","Roman Catholic","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","All ages","Protestant  and Other Christian religion, n.e.s.","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","All ages","No religion","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","All ages","Not stated","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","All ages","Islam","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","All ages","Other stated religions (1)","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","All ages","Hindu","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","0 - 4 years","Roman Catholic","%","6.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","0 - 4 years","Protestant  and Other Christian religion, n.e.s.","%","4.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","0 - 4 years","No religion","%","8"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","0 - 4 years","Not stated","%","5.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","0 - 4 years","Islam","%","10.1"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","0 - 4 years","Other stated religions (1)","%","3.8"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","0 - 4 years","Hindu","%","7.7"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","5 - 9 years","Roman Catholic","%","7.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","5 - 9 years","Protestant  and Other Christian religion, n.e.s.","%","5.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","5 - 9 years","No religion","%","7"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","5 - 9 years","Not stated","%","5.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","5 - 9 years","Islam","%","10.8"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","5 - 9 years","Other stated religions (1)","%","4.1"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","5 - 9 years","Hindu","%","9"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","10 - 14 years","Roman Catholic","%","7.5"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","10 - 14 years","Protestant  and Other Christian religion, n.e.s.","%","5.9"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","10 - 14 years","No religion","%","6.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","10 - 14 years","Not stated","%","5.1"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","10 - 14 years","Islam","%","9.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","10 - 14 years","Other stated religions (1)","%","4.3"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","10 - 14 years","Hindu","%","7"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","15 - 19 years","Roman Catholic","%","6.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","15 - 19 years","Protestant  and Other Christian religion, n.e.s.","%","5.2"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","15 - 19 years","No religion","%","6.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","15 - 19 years","Not stated","%","6.2"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","15 - 19 years","Islam","%","8"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","15 - 19 years","Other stated religions (1)","%","4.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","15 - 19 years","Hindu","%","3.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","20 - 24 years","Roman Catholic","%","5.9"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","20 - 24 years","Protestant  and Other Christian religion, n.e.s.","%","4.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","20 - 24 years","No religion","%","8.2"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","20 - 24 years","Not stated","%","7"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","20 - 24 years","Islam","%","6.5"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","20 - 24 years","Other stated religions (1)","%","7.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","20 - 24 years","Hindu","%","6.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","25 - 29 years","Roman Catholic","%","5.9"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","25 - 29 years","Protestant  and Other Christian religion, n.e.s.","%","4.8"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","25 - 29 years","No religion","%","9.3"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","25 - 29 years","Not stated","%","5.9"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","25 - 29 years","Islam","%","8.1"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","25 - 29 years","Other stated religions (1)","%","6.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","25 - 29 years","Hindu","%","9.7"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","30 - 34 years","Roman Catholic","%","6.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","30 - 34 years","Protestant  and Other Christian religion, n.e.s.","%","5.3"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","30 - 34 years","No religion","%","9.3"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","30 - 34 years","Not stated","%","5.7"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","30 - 34 years","Islam","%","10.1"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","30 - 34 years","Other stated religions (1)","%","8.8"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","30 - 34 years","Hindu","%","13.5"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","35 - 39 years","Roman Catholic","%","7.1"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","35 - 39 years","Protestant  and Other Christian religion, n.e.s.","%","5.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","35 - 39 years","No religion","%","8"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","35 - 39 years","Not stated","%","4.9"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","35 - 39 years","Islam","%","11"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","35 - 39 years","Other stated religions (1)","%","8.3"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","35 - 39 years","Hindu","%","14.5"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","40 - 44 years","Roman Catholic","%","6.7"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","40 - 44 years","Protestant  and Other Christian religion, n.e.s.","%","5.8"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","40 - 44 years","No religion","%","7.1"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","40 - 44 years","Not stated","%","4.7"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","40 - 44 years","Islam","%","8.5"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","40 - 44 years","Other stated religions (1)","%","8.3"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","40 - 44 years","Hindu","%","11.1"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","45 - 49 years","Roman Catholic","%","6.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","45 - 49 years","Protestant  and Other Christian religion, n.e.s.","%","6.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","45 - 49 years","No religion","%","6.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","45 - 49 years","Not stated","%","4.7"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","45 - 49 years","Islam","%","6.2"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","45 - 49 years","Other stated religions (1)","%","8"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","45 - 49 years","Hindu","%","6"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","50 - 54 years","Roman Catholic","%","6.8"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","50 - 54 years","Protestant  and Other Christian religion, n.e.s.","%","7.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","50 - 54 years","No religion","%","6"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","50 - 54 years","Not stated","%","4.9"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","50 - 54 years","Islam","%","4.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","50 - 54 years","Other stated religions (1)","%","7"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","50 - 54 years","Hindu","%","3.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","55 - 59 years","Roman Catholic","%","6.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","55 - 59 years","Protestant  and Other Christian religion, n.e.s.","%","7.8"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","55 - 59 years","No religion","%","5.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","55 - 59 years","Not stated","%","5.5"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","55 - 59 years","Islam","%","2.9"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","55 - 59 years","Other stated religions (1)","%","7.3"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","55 - 59 years","Hindu","%","1.9"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","60 - 64 years","Roman Catholic","%","5.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","60 - 64 years","Protestant  and Other Christian religion, n.e.s.","%","7.1"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","60 - 64 years","No religion","%","4.3"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","60 - 64 years","Not stated","%","5.5"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","60 - 64 years","Islam","%","1.9"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","60 - 64 years","Other stated religions (1)","%","5.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","60 - 64 years","Hindu","%","1.8"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","65 - 69 years","Roman Catholic","%","4.5"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","65 - 69 years","Protestant  and Other Christian religion, n.e.s.","%","6.1"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","65 - 69 years","No religion","%","3.3"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","65 - 69 years","Not stated","%","6.3"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","65 - 69 years","Islam","%","1.1"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","65 - 69 years","Other stated religions (1)","%","4.7"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","65 - 69 years","Hindu","%","1.3"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","70 - 74 years","Roman Catholic","%","3.8"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","70 - 74 years","Protestant  and Other Christian religion, n.e.s.","%","6"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","70 - 74 years","No religion","%","2.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","70 - 74 years","Not stated","%","6.7"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","70 - 74 years","Islam","%","0.5"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","70 - 74 years","Other stated religions (1)","%","4.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","70 - 74 years","Hindu","%","0.9"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","75 - 79 years","Roman Catholic","%","2.8"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","75 - 79 years","Protestant  and Other Christian religion, n.e.s.","%","5.2"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","75 - 79 years","No religion","%","1.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","75 - 79 years","Not stated","%","6.2"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","75 - 79 years","Islam","%","0.3"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","75 - 79 years","Other stated religions (1)","%","3.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","75 - 79 years","Hindu","%","0.9"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","80 - 84 years","Roman Catholic","%","1.8"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","80 - 84 years","Protestant  and Other Christian religion, n.e.s.","%","3.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","80 - 84 years","No religion","%","0.7"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","80 - 84 years","Not stated","%","4.7"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","80 - 84 years","Islam","%","0.3"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","80 - 84 years","Other stated religions (1)","%","1.9"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","80 - 84 years","Hindu","%","0.7"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","85 years and over","Roman Catholic","%","1.5"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","85 years and over","Protestant  and Other Christian religion, n.e.s.","%","3.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","85 years and over","No religion","%","0.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","85 years and over","Not stated","%","5"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","85 years and over","Islam","%","0.1"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","85 years and over","Other stated religions (1)","%","2"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","85 years and over","Hindu","%","0.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","All ages","Roman Catholic","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","All ages","Protestant  and Other Christian religion, n.e.s.","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","All ages","No religion","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","All ages","Not stated","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","All ages","Islam","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","All ages","Other stated religions (1)","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","All ages","Hindu","%","100"
