"Statistic Label","Census Year","Ireland and Northern Ireland","General Health","Age Group","UNIT","VALUE"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","25 - 29 years","%","60.15"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","30 - 34 years","%","56.1"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","35 - 39 years","%","52.25"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","40 - 44 years","%","49.79"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","45 - 49 years","%","47.23"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","50 - 54 years","%","43.12"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","55 - 59 years","%","40.1"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","60 - 64 years","%","35.09"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","65 - 69 years","%","30.05"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","70 - 74 years","%","25.78"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","75 - 79 years","%","20.35"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","80 - 84 years","%","15.92"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very good","85 years and over","%","10.18"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","All ages","%","29.66"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","0 - 4 years","%","10.87"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","5 - 9 years","%","11.74"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","10 - 14 years","%","13.05"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","15 - 19 years","%","17.23"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","20 - 24 years","%","23.36"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","25 - 29 years","%","27.39"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","30 - 34 years","%","29.97"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","35 - 39 years","%","32.96"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","40 - 44 years","%","34.37"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","45 - 49 years","%","35.77"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","50 - 54 years","%","37.92"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","55 - 59 years","%","38.82"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","60 - 64 years","%","40.63"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","65 - 69 years","%","43.67"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","70 - 74 years","%","44.76"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","75 - 79 years","%","44.78"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","80 - 84 years","%","42.32"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Good","85 years and over","%","36.25"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","All ages","%","8.67"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","0 - 4 years","%","0.88"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","5 - 9 years","%","1.13"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","10 - 14 years","%","1.39"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","15 - 19 years","%","2.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","20 - 24 years","%","4.15"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","25 - 29 years","%","4.56"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","30 - 34 years","%","5.08"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","35 - 39 years","%","6.04"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","40 - 44 years","%","7.21"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","45 - 49 years","%","8.86"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","50 - 54 years","%","10.76"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","55 - 59 years","%","12.76"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","60 - 64 years","%","15.36"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","65 - 69 years","%","17.43"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","70 - 74 years","%","20.1"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","75 - 79 years","%","24.41"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","80 - 84 years","%","29.16"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Fair","85 years and over","%","36.25"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","All ages","%","1.42"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","0 - 4 years","%","0.11"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","5 - 9 years","%","0.11"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","10 - 14 years","%","0.15"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","15 - 19 years","%","0.29"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","20 - 24 years","%","0.49"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","25 - 29 years","%","0.53"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","30 - 34 years","%","0.59"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","35 - 39 years","%","0.75"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","40 - 44 years","%","1.02"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","45 - 49 years","%","1.39"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","50 - 54 years","%","1.85"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","55 - 59 years","%","2.49"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","60 - 64 years","%","2.98"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","65 - 69 years","%","3.03"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","70 - 74 years","%","3.22"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","75 - 79 years","%","4.1"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","80 - 84 years","%","5.34"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Bad","85 years and over","%","7.19"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","All ages","%","0.33"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","0 - 4 years","%","0.06"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","5 - 9 years","%","0.05"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","10 - 14 years","%","0.05"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","15 - 19 years","%","0.07"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","20 - 24 years","%","0.09"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","25 - 29 years","%","0.1"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","30 - 34 years","%","0.11"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","35 - 39 years","%","0.14"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","40 - 44 years","%","0.18"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","45 - 49 years","%","0.27"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","50 - 54 years","%","0.39"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","55 - 59 years","%","0.5"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","60 - 64 years","%","0.64"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","65 - 69 years","%","0.71"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","70 - 74 years","%","0.82"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","75 - 79 years","%","1.08"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","80 - 84 years","%","1.45"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","General health - Very Bad","85 years and over","%","2.16"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","Not stated","All ages","%","6.71"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","Not stated","0 - 4 years","%","9.63"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","Not stated","5 - 9 years","%","6.68"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","Not stated","10 - 14 years","%","6.09"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","Not stated","15 - 19 years","%","6.21"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","Not stated","20 - 24 years","%","7.33"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","Not stated","25 - 29 years","%","7.26"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","Not stated","30 - 34 years","%","8.15"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","Not stated","35 - 39 years","%","7.85"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","Not stated","40 - 44 years","%","7.43"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","Not stated","45 - 49 years","%","6.49"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","Not stated","50 - 54 years","%","5.96"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","Not stated","55 - 59 years","%","5.34"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","Not stated","60 - 64 years","%","5.29"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","Not stated","65 - 69 years","%","5.1"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","Not stated","70 - 74 years","%","5.32"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","Not stated","75 - 79 years","%","5.29"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","Not stated","80 - 84 years","%","5.81"
"Percentage of Population Usually Resident  and Present","2021/2022","Ireland","Not stated","85 years and over","%","7.97"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","All ages","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","0 - 4 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","5 - 9 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","10 - 14 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","15 - 19 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","20 - 24 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","25 - 29 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","30 - 34 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","35 - 39 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","40 - 44 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","45 - 49 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","50 - 54 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","55 - 59 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","60 - 64 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","65 - 69 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","70 - 74 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","75 - 79 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","80 - 84 years","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - All","85 years and over","%","100"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","All ages","%","49.98"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","0 - 4 years","%","87.25"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","5 - 9 years","%","83.11"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","10 - 14 years","%","80.51"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","15 - 19 years","%","74.79"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","20 - 24 years","%","64.85"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","25 - 29 years","%","60.76"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","30 - 34 years","%","56.31"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","35 - 39 years","%","52.69"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","40 - 44 years","%","48.32"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","45 - 49 years","%","42.32"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","50 - 54 years","%","36.18"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","55 - 59 years","%","31.7"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","60 - 64 years","%","26.54"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","65 - 69 years","%","22.36"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","70 - 74 years","%","18.18"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","75 - 79 years","%","13.48"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","80 - 84 years","%","9.67"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very good","85 years and over","%","6.01"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","All ages","%","28.69"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","0 - 4 years","%","10.72"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","5 - 9 years","%","13.26"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","10 - 14 years","%","15.1"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","15 - 19 years","%","18.91"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","20 - 24 years","%","25.6"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","25 - 29 years","%","28.39"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","30 - 34 years","%","31.57"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","35 - 39 years","%","33.23"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","40 - 44 years","%","34.73"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","45 - 49 years","%","35.89"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","50 - 54 years","%","36.63"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","55 - 59 years","%","35.93"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","60 - 64 years","%","35.8"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","65 - 69 years","%","37"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","70 - 74 years","%","37.2"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","75 - 79 years","%","35.19"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","80 - 84 years","%","31.16"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Good","85 years and over","%","24.07"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","All ages","%","13.66"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","0 - 4 years","%","1.53"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","5 - 9 years","%","2.88"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","10 - 14 years","%","3.42"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","15 - 19 years","%","4.86"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","20 - 24 years","%","7.15"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","25 - 29 years","%","7.86"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","30 - 34 years","%","8.41"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","35 - 39 years","%","9.38"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","40 - 44 years","%","10.89"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","45 - 49 years","%","13.52"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","50 - 54 years","%","16.27"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","55 - 59 years","%","18.67"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","60 - 64 years","%","21.27"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","65 - 69 years","%","25"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","70 - 74 years","%","29.78"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","75 - 79 years","%","34.42"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","80 - 84 years","%","39.07"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Fair","85 years and over","%","45.02"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","All ages","%","5.73"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","0 - 4 years","%","0.34"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","5 - 9 years","%","0.59"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","10 - 14 years","%","0.76"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","15 - 19 years","%","1.11"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","20 - 24 years","%","1.87"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","25 - 29 years","%","2.32"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","30 - 34 years","%","2.87"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","35 - 39 years","%","3.7"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","40 - 44 years","%","4.66"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","45 - 49 years","%","6.25"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","50 - 54 years","%","8.12"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","55 - 59 years","%","10.04"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","60 - 64 years","%","12.02"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","65 - 69 years","%","11.56"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","70 - 74 years","%","11.17"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","75 - 79 years","%","12.56"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","80 - 84 years","%","14.89"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Bad","85 years and over","%","17.83"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","All ages","%","1.95"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","0 - 4 years","%","0.16"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","5 - 9 years","%","0.15"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","10 - 14 years","%","0.21"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","15 - 19 years","%","0.33"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","20 - 24 years","%","0.53"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","25 - 29 years","%","0.66"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","30 - 34 years","%","0.84"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","35 - 39 years","%","1"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","40 - 44 years","%","1.4"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","45 - 49 years","%","2.02"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","50 - 54 years","%","2.81"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","55 - 59 years","%","3.67"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","60 - 64 years","%","4.37"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","65 - 69 years","%","4.1"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","70 - 74 years","%","3.67"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","75 - 79 years","%","4.35"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","80 - 84 years","%","5.21"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","General health - Very Bad","85 years and over","%","7.08"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","All ages","%","0"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","0 - 4 years","%","0"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","5 - 9 years","%","0"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","10 - 14 years","%","0"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","15 - 19 years","%","0"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","20 - 24 years","%","0"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","25 - 29 years","%","0"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","30 - 34 years","%","0"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","35 - 39 years","%","0"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","40 - 44 years","%","0"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","45 - 49 years","%","0"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","50 - 54 years","%","0"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","55 - 59 years","%","0"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","60 - 64 years","%","0"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","65 - 69 years","%","0"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","70 - 74 years","%","0"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","75 - 79 years","%","0"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","80 - 84 years","%","0"
"Percentage of Population Usually Resident  and Present","2021/2022","Northern Ireland","Not stated","85 years and over","%","0"
